embedding_id,umap_x,umap_y,umap_z
embedding_00242,10.439710617,-0.310541302,5.501061440
embedding_00243,5.556740761,4.459245682,2.106788874
embedding_00244,12.370385170,7.945212364,3.337319851
embedding_00245,8.661975861,4.575447083,-3.497589350
embedding_00246,8.526081085,4.339372635,-0.538507283
embedding_00247,8.702020645,0.437133521,2.923997164
embedding_00248,10.538292885,-1.956364393,-2.415326357
embedding_00249,8.362092018,0.575785100,6.006107807
embedding_00250,8.463921547,3.447570801,-0.450219780
embedding_00251,11.108043671,1.497042298,-1.834872723
embedding_00252,14.298523903,-1.103383064,-0.273302823
embedding_00253,14.674210548,-1.829681516,0.037798058
embedding_00254,8.509315491,1.694949508,0.062425669
embedding_00255,3.180325508,3.869589090,-10.346248627
embedding_00256,14.098959923,5.209608078,0.996227860
embedding_00257,11.198449135,1.720922232,-2.668014050
embedding_00258,13.757654190,-1.460892200,-1.182341695
embedding_00259,13.079686165,4.399762630,3.161459208
embedding_00260,11.017689705,1.511558294,3.761500835
embedding_00261,14.117198944,5.070654869,3.354444027
embedding_00262,13.254647255,6.870813370,3.313280106
embedding_00263,13.345443726,7.200307369,-4.827602386
embedding_00264,6.363814831,3.383663893,-3.814231157
embedding_00265,6.855950356,6.312639236,-3.699271441
embedding_00266,7.582935333,6.394742966,-3.743091822
embedding_00267,10.181509018,-0.734456539,5.322727203
embedding_00268,3.892077923,-3.318404675,-5.635375977
embedding_00269,11.627819061,7.246634007,2.544994116
