audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
goodness_prosocial,goodness,Freedom Truth and Moral Teleology,false,prosocial behaviour,valid_but_partial,natural_ambiguous,3,0.4796065005466254,0.5199945782478287,-0.040388077701203284,-0.05944273069052192
goodness_prosocial,goodness,Freedom Truth and Moral Teleology,false,prosocial behaviour,valid_but_partial,label_free_theological,3,0.775422659524716,0.5160463616155114,0.25937629790920463,0.2433427750822299
goodness_prosocial,goodness,Freedom Truth and Moral Teleology,false,prosocial behaviour,valid_but_partial,explicit_catholic,3,0.8818707859913242,0.46160430075009495,0.4202664852412292,0.42254483069491505
goodness_prosocial,goodness,Freedom Truth and Moral Teleology,false,prosocial behaviour,valid_but_partial,integrative,3,0.6811992937194278,0.6489452532265215,0.03225404049290633,0.025490432838210286
vocation_career,vocation,Freedom Truth and Moral Teleology,false,career calling,alternative_lexical_senses,bare,1,0.6035963852613558,0.5716400605489832,0.03195632471237264,0.03195632471237264
vocation_career,vocation,Freedom Truth and Moral Teleology,false,career calling,alternative_lexical_senses,natural_general,3,0.5700702821058359,0.7431723962403766,-0.17310211413454066,-0.1690308032196447
vocation_career,vocation,Freedom Truth and Moral Teleology,false,career calling,alternative_lexical_senses,natural_ambiguous,3,0.5269798108263882,0.5643472586987189,-0.037367447872330706,-0.0559698894749282
vocation_career,vocation,Freedom Truth and Moral Teleology,false,career calling,alternative_lexical_senses,label_free_theological,3,0.8154874634660599,0.5591505665798243,0.25633689688623573,0.2695552876814774
vocation_career,vocation,Freedom Truth and Moral Teleology,false,career calling,alternative_lexical_senses,explicit_catholic,3,0.8898142659123943,0.4922990010913375,0.39751526482105676,0.3994568912197521
vocation_career,vocation,Freedom Truth and Moral Teleology,false,career calling,alternative_lexical_senses,integrative,3,0.7377760498246405,0.6826778921073312,0.05509815771730919,0.04711590844451108
discernment_decision_making,discernment,Freedom Truth and Moral Teleology,false,decision-making process,valid_but_partial,bare,1,0.6118058547854588,0.5252880803910409,0.08651777439441788,0.08651777439441788
discernment_decision_making,discernment,Freedom Truth and Moral Teleology,false,decision-making process,valid_but_partial,natural_general,3,0.5761598257467425,0.7754768737706352,-0.1993170480238927,-0.2078987977596145
discernment_decision_making,discernment,Freedom Truth and Moral Teleology,false,decision-making process,valid_but_partial,natural_ambiguous,3,0.5240439065575396,0.507079292684545,0.016964613872994732,-0.011832347460748405
discernment_decision_making,discernment,Freedom Truth and Moral Teleology,false,decision-making process,valid_but_partial,label_free_theological,3,0.8414473709341626,0.5432371109210877,0.29821026001307477,0.3104261240183578
discernment_decision_making,discernment,Freedom Truth and Moral Teleology,false,decision-making process,valid_but_partial,explicit_catholic,3,0.9001410333196533,0.48295008809770806,0.41719094522194516,0.426437848818498
discernment_decision_making,discernment,Freedom Truth and Moral Teleology,false,decision-making process,valid_but_partial,integrative,3,0.728495146146486,0.6889870760966786,0.0395080700498075,0.02696148933596687
prudence_risk_management,prudence,Freedom Truth and Moral Teleology,false,risk management,valid_but_partial,bare,1,0.5321021696079359,0.5747714994490294,-0.042669329841093506,-0.042669329841093506
prudence_risk_management,prudence,Freedom Truth and Moral Teleology,false,risk management,valid_but_partial,natural_general,3,0.4992985007324582,0.7739151696661452,-0.2746166689336869,-0.27393432273044177
prudence_risk_management,prudence,Freedom Truth and Moral Teleology,false,risk management,valid_but_partial,natural_ambiguous,3,0.5097705350497965,0.5244868432360615,-0.014716308186265051,-0.04416989179008318
prudence_risk_management,prudence,Freedom Truth and Moral Teleology,false,risk management,valid_but_partial,label_free_theological,3,0.79037968680047,0.5132050167532493,0.2771746700472208,0.28372095823071697
prudence_risk_management,prudence,Freedom Truth and Moral Teleology,false,risk management,valid_but_partial,explicit_catholic,3,0.8821625146469111,0.44650951105385434,0.4356530035930568,0.4442740207463203
prudence_risk_management,prudence,Freedom Truth and Moral Teleology,false,risk management,valid_but_partial,integrative,3,0.6654384272672421,0.6737850944391672,-0.008346667171925152,-0.01213341189876671
temperance_moderation,temperance,Freedom Truth and Moral Teleology,false,behavioural moderation,valid_but_partial,bare,1,0.5320206854327266,0.6165406336140401,-0.08451994818131348,-0.08451994818131348
temperance_moderation,temperance,Freedom Truth and Moral Teleology,false,behavioural moderation,valid_but_partial,natural_general,3,0.5960432308274969,0.757326491816972,-0.16128326098947512,-0.1625060694336513
temperance_moderation,temperance,Freedom Truth and Moral Teleology,false,behavioural moderation,valid_but_partial,natural_ambiguous,3,0.5396113567343556,0.5752088964911392,-0.035597539756783626,-0.04304890612978762
temperance_moderation,temperance,Freedom Truth and Moral Teleology,false,behavioural moderation,valid_but_partial,label_free_theological,3,0.8260008579978342,0.6216996213047677,0.20430123669306643,0.21488945179634134
temperance_moderation,temperance,Freedom Truth and Moral Teleology,false,behavioural moderation,valid_but_partial,explicit_catholic,3,0.9002065252397662,0.5634038057117164,0.3368027195280497,0.3382156532764159
temperance_moderation,temperance,Freedom Truth and Moral Teleology,false,behavioural moderation,valid_but_partial,integrative,3,0.7291187133175452,0.7317593163823144,-0.002640603064769135,0.021352896340645966
fortitude_resilience,fortitude,Freedom Truth and Moral Teleology,false,psychological resilience,valid_but_partial,bare,1,0.5753878280331359,0.5176855273360594,0.05770230069707649,0.05770230069707649
