query_id,audit_id,concept,condition,omitted_reference_count,full_cas,min_loro_cas,max_loro_cas,mean_loro_cas,max_absolute_cas_change,sign_stability_proportion
self_gift_altruism_natural_general_p1,self_gift_altruism,self-gift,natural_general,6,-0.1949819826686553,-0.21107592349941096,-0.17973278911408075,-0.1949819826686553,0.01609394083075566,1.0
self_gift_altruism_natural_general_p2,self_gift_altruism,self-gift,natural_general,6,-0.1888490978110324,-0.2334847009551142,-0.12226607952608082,-0.18884909781103232,0.06658301828495158,1.0
self_gift_altruism_natural_general_p3,self_gift_altruism,self-gift,natural_general,6,-0.1819787988684996,-0.19653428477468216,-0.17150610019272483,-0.18197879886849963,0.014555485906182553,1.0
self_gift_altruism_natural_ambiguous_p1,self_gift_altruism,self-gift,natural_ambiguous,6,0.1099214671330903,0.09270726807627738,0.12435225353326007,0.10992146713309035,0.017214199056812915,1.0
self_gift_altruism_natural_ambiguous_p2,self_gift_altruism,self-gift,natural_ambiguous,6,0.0304104880310108,0.016147382437127322,0.05064016832999718,0.03041048803101093,0.02022968029898638,1.0
self_gift_altruism_natural_ambiguous_p3,self_gift_altruism,self-gift,natural_ambiguous,6,0.0522266791092594,0.04536840133869802,0.057141356765534446,0.05222667910925949,0.0068582777705613815,1.0
self_gift_altruism_label_free_theological_p1,self_gift_altruism,self-gift,label_free_theological,6,0.2406438323906231,0.22635806665736746,0.25182185720632067,0.24064383239062317,0.014285765733255629,1.0
self_gift_altruism_label_free_theological_p2,self_gift_altruism,self-gift,label_free_theological,6,0.2677550996197574,0.2492383299353399,0.28232331060597693,0.26775509961975746,0.01851676968441751,1.0
self_gift_altruism_label_free_theological_p3,self_gift_altruism,self-gift,label_free_theological,6,0.1887069107112138,0.1633141032119707,0.22509418039825435,0.18870691071121382,0.03638726968704056,1.0
self_gift_altruism_explicit_catholic_p1,self_gift_altruism,self-gift,explicit_catholic,6,0.3454093993695036,0.33640351136648616,0.35661401244177526,0.34540939936950354,0.011204613072271663,1.0
self_gift_altruism_explicit_catholic_p2,self_gift_altruism,self-gift,explicit_catholic,6,0.3577017972551798,0.33714902441895767,0.373710460881981,0.35770179725517987,0.020552772836222144,1.0
self_gift_altruism_explicit_catholic_p3,self_gift_altruism,self-gift,explicit_catholic,6,0.2972398514384154,0.27736169321707893,0.33291640578973825,0.29723985143841536,0.03567655435132283,1.0
self_gift_altruism_integrative_p1,self_gift_altruism,self-gift,integrative,6,0.0362966055405449,0.023261034062323493,0.04973549657345788,0.036296605540544924,0.01343889103291298,1.0
self_gift_altruism_integrative_p2,self_gift_altruism,self-gift,integrative,6,-0.04061002955851,-0.07046404499126735,-0.0064987819493674825,-0.04061002955851006,0.03411124760914252,1.0
self_gift_altruism_integrative_p3,self_gift_altruism,self-gift,integrative,6,-0.0158024902468646,-0.027833434112743305,-0.008516237282005235,-0.01580249024686455,0.012030943865878704,1.0
communion_social_togetherness_bare_p1,communion_social_togetherness,communion,bare,6,0.0377469286499602,0.026572084192945877,0.04967742867848013,0.037746928649960154,0.011930500028519926,1.0
communion_social_togetherness_natural_general_p1,communion_social_togetherness,communion,natural_general,6,-0.147203014147673,-0.18042328033386823,-0.11521792934831077,-0.14720301414767306,0.033220266186195224,1.0
communion_social_togetherness_natural_general_p2,communion_social_togetherness,communion,natural_general,6,-0.1824032452278962,-0.2344949031752428,-0.12278454522240245,-0.18240324522789617,0.05961870000549374,1.0
communion_social_togetherness_natural_general_p3,communion_social_togetherness,communion,natural_general,6,-0.180592692490777,-0.21019844028262136,-0.16364190672075785,-0.18059269249077703,0.029605747791844356,1.0
communion_social_togetherness_natural_ambiguous_p1,communion_social_togetherness,communion,natural_ambiguous,6,0.0482429612859107,0.03305870838597236,0.062020399740523424,0.04824296128591077,0.015184252899938341,1.0
communion_social_togetherness_natural_ambiguous_p2,communion_social_togetherness,communion,natural_ambiguous,6,-0.0093053444893698,-0.026659335046539834,0.013597814840346167,-0.009305344489369852,0.02290315932971597,0.8333333333333334
communion_social_togetherness_natural_ambiguous_p3,communion_social_togetherness,communion,natural_ambiguous,6,-0.0131392032949819,-0.021539379995006658,-0.0038120085983740504,-0.01313920329498199,0.00932719469660785,1.0
communion_social_togetherness_label_free_theological_p1,communion_social_togetherness,communion,label_free_theological,6,0.2742198438195194,0.25845921666106453,0.2859338619636732,0.2742198438195194,0.015760627158454887,1.0
communion_social_togetherness_label_free_theological_p2,communion_social_togetherness,communion,label_free_theological,6,0.3090890386480915,0.28250917866298575,0.3229311775623437,0.30908903864809156,0.026579859985105758,1.0
communion_social_togetherness_label_free_theological_p3,communion_social_togetherness,communion,label_free_theological,6,0.2112921387409303,0.17285220076727337,0.2583880925184697,0.21129213874093034,0.04709595377753942,1.0
communion_social_togetherness_explicit_catholic_p1,communion_social_togetherness,communion,explicit_catholic,6,0.3760457136991302,0.361675148860201,0.39515071916849287,0.37604571369913026,0.019105005469362668,1.0
communion_social_togetherness_explicit_catholic_p2,communion_social_togetherness,communion,explicit_catholic,6,0.4005502056216996,0.3757124412334985,0.4237797902733638,0.4005502056216996,0.024837764388201067,1.0
communion_social_togetherness_explicit_catholic_p3,communion_social_togetherness,communion,explicit_catholic,6,0.3194465671244505,0.2871713738480861,0.36330523412320553,0.3194465671244505,0.043858666998755014,1.0
communion_social_togetherness_integrative_p1,communion_social_togetherness,communion,integrative,6,0.0657627981476723,0.04329741730745107,0.07939456580874993,0.06576279814767239,0.022465380840221233,1.0
communion_social_togetherness_integrative_p2,communion_social_togetherness,communion,integrative,6,-0.0009515492001482,-0.036255311718454974,0.03475705632850867,-0.0009515492001483383,0.03570860552865687,0.5
communion_social_togetherness_integrative_p3,communion_social_togetherness,communion,integrative,6,0.0265314321220342,-0.002004223329365784,0.044006385226393774,0.026531432122034238,0.028535655451399983,0.8333333333333334
community_voluntary_association_bare_p1,community_voluntary_association,community,bare,6,-0.0809582507706654,-0.1186001325988818,-0.06009447198498946,-0.08095825077066543,0.0376418818282164,1.0
community_voluntary_association_natural_general_p1,community_voluntary_association,community,natural_general,6,-0.2676231809736575,-0.31131231178106805,-0.22109804430723373,-0.26762318097365756,0.04652513666642377,1.0
community_voluntary_association_natural_general_p2,community_voluntary_association,community,natural_general,6,-0.2370812486085037,-0.3108788955129013,-0.15102422642940944,-0.23708124860850366,0.08605702217909425,1.0
community_voluntary_association_natural_general_p3,community_voluntary_association,community,natural_general,6,-0.2463103384783317,-0.28335984580395923,-0.2191199810974107,-0.2463103384783317,0.037049507325627534,1.0
community_voluntary_association_natural_ambiguous_p1,community_voluntary_association,community,natural_ambiguous,6,0.0807056921428543,0.05731713181071035,0.0980746507099392,0.08070569214285431,0.02338856033214394,1.0
community_voluntary_association_natural_ambiguous_p2,community_voluntary_association,community,natural_ambiguous,6,-0.1203960001230871,-0.136727583998575,-0.08942717405062561,-0.12039600012308715,0.030968826072461486,1.0
community_voluntary_association_natural_ambiguous_p3,community_voluntary_association,community,natural_ambiguous,6,-0.0466790761773333,-0.06200258854295776,-0.031174747986395246,-0.04667907617733336,0.015504328190938055,1.0
community_voluntary_association_label_free_theological_p1,community_voluntary_association,community,label_free_theological,6,0.2654846011976049,0.24339369173861297,0.2984406363444585,0.2654846011976049,0.03295603514685358,1.0
community_voluntary_association_label_free_theological_p2,community_voluntary_association,community,label_free_theological,6,0.338915253022647,0.3196436902681628,0.3531131782520121,0.3389152530226471,0.019271562754484217,1.0
community_voluntary_association_label_free_theological_p3,community_voluntary_association,community,label_free_theological,6,0.269471814581536,0.24127179861330528,0.3174279021141254,0.269471814581536,0.0479560875325894,1.0
community_voluntary_association_explicit_catholic_p1,community_voluntary_association,community,explicit_catholic,6,0.425076832405529,0.40838298746246604,0.43939777448787276,0.4250768324055291,0.016693844943062974,1.0
community_voluntary_association_explicit_catholic_p2,community_voluntary_association,community,explicit_catholic,6,0.456023471569595,0.43444926619437374,0.471663491557224,0.45602347156959505,0.021574205375221256,1.0
community_voluntary_association_explicit_catholic_p3,community_voluntary_association,community,explicit_catholic,6,0.4019141523058847,0.3788368404974727,0.4460511453033911,0.4019141523058847,0.0441369929975064,1.0
community_voluntary_association_integrative_p1,community_voluntary_association,community,integrative,6,0.131005354173488,0.11111056466243008,0.1433798342073147,0.13100535417348805,0.019894789511057914,1.0
