audit_id,concept,condition,paraphrase_count,mean_s_c,min_s_c,max_s_c,mean_s_r,min_s_r,max_s_r,mean_cas,min_cas,max_cas,cas_standard_deviation,positive_cas_proportion
discernment_decision_making,discernment,natural_general,3,0.5761598257467425,0.5512126502684956,0.6115247590270233,0.7754768737706352,0.7736408657043232,0.7784583077549218,-0.19931704802389263,-0.223118797584165,-0.1669335487278984,0.029059084098695783,0.0
discernment_decision_making,discernment,natural_ambiguous,3,0.5240439065575396,0.4782552299270632,0.588524016383562,0.507079292684545,0.4900875773878116,0.5198991543977413,0.016964613872994735,-0.0145466810357475,0.0772728701154801,0.05224611210363933,0.3333333333333333
discernment_decision_making,discernment,label_free_theological,3,0.8414473709341626,0.8189081426226025,0.8573414379942941,0.5432371109210877,0.5240691942754543,0.5679757303205758,0.29821026001307477,0.2509324123020267,0.3332722437188398,0.042507440048584186,1.0
discernment_decision_making,discernment,explicit_catholic,3,0.9001410333196533,0.893378752856833,0.9096264870694086,0.48295008809770806,0.4709800112142202,0.503199090887143,0.41719094522194516,0.39017966196969,0.4349553248776475,0.023776961891812765,1.0
discernment_decision_making,discernment,integrative,3,0.728495146146486,0.7046107048325775,0.7460315926318503,0.6889870760966786,0.6756448964421778,0.7078816516390635,0.03950807004980747,0.0211760246237832,0.0703866961896724,0.02689767768224876,1.0
prudence_risk_management,prudence,natural_general,3,0.4992985007324582,0.4854401102997435,0.5221184838536185,0.7739151696661452,0.7593744330301853,0.7892707537513917,-0.2746166689336869,-0.2827634141728458,-0.2671522698977732,0.007827908638333441,0.0
prudence_risk_management,prudence,natural_ambiguous,3,0.5097705350497965,0.4630414278386246,0.57745465787209,0.5244868432360615,0.5072113196287078,0.5470960850198089,-0.014716308186265,-0.0582805655811338,0.0583015328124219,0.06362767956472641,0.3333333333333333
prudence_risk_management,prudence,label_free_theological,3,0.79037968680047,0.7676514848494591,0.8042597125054174,0.5132050167532493,0.4900767304658601,0.534031414978071,0.2771746700472207,0.233620069871388,0.3141829820395572,0.04067844786849756,1.0
prudence_risk_management,prudence,explicit_catholic,3,0.8821625146469111,0.8762692404029077,0.8901554245095564,0.44650951105385434,0.432103209913328,0.4716364649662859,0.4356530035930568,0.4046327754366217,0.4580522145962284,0.02773356400824422,1.0
prudence_risk_management,prudence,integrative,3,0.6654384272672421,0.6296619382000798,0.71155242662656,0.6737850944391672,0.6417953500988465,0.7182699745176123,-0.008346667171925134,-0.0631690575425258,0.0502624679255171,0.0568104947982458,0.3333333333333333
temperance_moderation,temperance,natural_general,3,0.5960432308274969,0.5833228382869083,0.6161030949841497,0.757326491816972,0.7472597038598354,0.7735099429459967,-0.1612832609894751,-0.163936865572927,-0.157406847961847,0.0034324521655246932,0.0
temperance_moderation,temperance,natural_ambiguous,3,0.5396113567343556,0.51420114830953,0.5720592749735804,0.5752088964911392,0.5572500544393176,0.5885358229867348,-0.03559753975678357,-0.0559621760667787,-0.0077815370737844,0.024939639914438663,0.0
temperance_moderation,temperance,label_free_theological,3,0.8260008579978342,0.8014334146524341,0.8419477074413892,0.6216996213047677,0.5795300650917379,0.6585105431775174,0.2043012366930664,0.1429228714749166,0.2550913868079413,0.056828924697803866,1.0
temperance_moderation,temperance,explicit_catholic,3,0.9002065252397662,0.8931223548241216,0.906250641412332,0.5634038057117164,0.5448876232002414,0.5822928677284791,0.3368027195280497,0.3108294870956425,0.3613630182120907,0.02529637776653435,1.0
temperance_moderation,temperance,integrative,3,0.7291187133175452,0.7035688370946378,0.7537664505401523,0.7317593163823144,0.7073297785799766,0.7555346163674602,-0.002640603064769166,-0.0519657792728224,0.022691073737869,0.04272209540335347,0.6666666666666666
fortitude_resilience,fortitude,natural_general,3,0.521362330886059,0.4837816805193248,0.5714645048682679,0.7838231651317503,0.7806162123385058,0.7889679148493781,-0.26246083424569133,-0.2981036876880423,-0.2175034099811101,0.041099539094865835,0.0
