locus,concept,concept_type,ambiguity_level,bare_cas,bare_top_catholic_rate,bare_query_count,ordinary_cas,ordinary_top_catholic_rate,ordinary_query_count,academic_cas,academic_top_catholic_rate,academic_query_count,catholic_cas,catholic_top_catholic_rate,catholic_query_count,bare_to_catholic_shift,ordinary_to_catholic_shift,academic_to_catholic_shift,default_cas,default_to_catholic_shift
Love Communion and Sacramentality,charity,theological_virtue,high,-0.15213915109634396,0.0,1,-0.07277453243732453,0.6666666666666666,3,-0.02687253554662067,0.6666666666666666,3,0.08880880177021024,1.0,3,0.24094795286655418,0.16158333420753476,0.1156813373168309,-0.11245684176683424,0.20126564353704446
Love Communion and Sacramentality,chastity,moral_virtue,high,-0.07714722752571102,0.0,1,-0.07921889722347258,0.0,3,-0.04861423671245576,0.0,3,-0.05196039676666261,0.0,3,0.025186830759048408,0.027258500456809977,-0.003346160054206848,-0.0781830623745918,0.026222665607929192
Love Communion and Sacramentality,communion,ecclesial_sacramental,medium,0.1480162262916565,1.0,1,0.12751718163490297,1.0,3,0.16364765266577405,1.0,3,0.22641831487417222,1.0,3,0.07840208858251571,0.09890113323926925,0.06277066220839816,0.13776670396327972,0.08865161091089249
Love Communion and Sacramentality,compassion,moral_spiritual,medium,-0.019120705127716076,0.0,1,-0.001924697558085109,0.0,3,0.03003482222557069,0.6666666666666666,3,0.14489446183045704,1.0,3,0.16401516695817311,0.14681915938854215,0.11485963960488635,-0.010522701342900592,0.15541716317335763
Love Communion and Sacramentality,covenant,biblical_theological,medium,0.016036355495452848,1.0,1,0.10434136092662812,1.0,3,0.1284724036852519,1.0,3,0.12820753057797749,1.0,3,0.11217117508252464,0.02386616965134937,-0.0002648731072744104,0.06018885821104048,0.06801867236693701
Love Communion and Sacramentality,enemy-love,moral_biblical,low,0.03221426606178285,1.0,1,0.0996388961871465,1.0,3,0.13759356041749318,1.0,3,0.17823410133520765,1.0,3,0.1460198352734248,0.07859520514806115,0.04064054091771446,0.06592658112446467,0.11230752021074297
Love Communion and Sacramentality,eros,anthropological_love,high,0.034785819053649886,1.0,1,-0.03555357158184049,0.0,3,-0.030094326535860694,0.0,3,0.06051338016986846,0.3333333333333333,3,0.025727561116218572,0.09606695175170896,0.09060770670572915,-0.0003838762640953029,0.060897256433963765
Love Communion and Sacramentality,family,social_anthropological,high,-0.06074824631214143,0.0,1,-0.03942885374029478,0.3333333333333333,3,0.0015568902095158914,0.3333333333333333,3,0.10401120434204736,1.0,3,0.1647594506541888,0.14344005808234214,0.10245431413253146,-0.05008855002621811,0.15409975436826545
Love Communion and Sacramentality,fidelity,moral_virtue,medium,-0.015674781799316417,0.0,1,0.0756463865439097,1.0,3,0.08660733799139658,1.0,3,0.14751809537410734,1.0,3,0.16319287717342376,0.07187170883019764,0.06091075738271076,0.029985802372296644,0.1175322930018107
Love Communion and Sacramentality,friendship,moral_anthropological,high,-0.04778104424476626,0.0,1,-0.034967172145843516,0.0,3,0.01170595586299894,0.3333333333333333,3,0.12420852382977803,1.0,3,0.1719895680745443,0.15917569597562153,0.11250256796677909,-0.04137410819530489,0.16558263202508292
Love Communion and Sacramentality,fruitfulness,marital_social,medium,0.04896149635314939,1.0,1,0.1162224958340327,1.0,3,0.14737097322940826,1.0,3,0.20469275166591008,1.0,3,0.1557312553127607,0.08847025583187738,0.057321778436501825,0.08259199609359105,0.12210075557231903
Love Communion and Sacramentality,love,moral_anthropological,high,-0.010132235288620006,1.0,1,-0.05366417368253073,0.0,3,0.013898386557896944,0.6666666666666666,3,0.19339557687441508,1.0,3,0.2035278121630351,0.24705975055694582,0.17949719031651815,-0.03189820448557537,0.22529378135999045
Love Communion and Sacramentality,marriage,sacramental_anthropological,high,0.011589801311492953,1.0,1,0.058828138311704,1.0,3,0.11194918354352318,1.0,3,0.24868206133445106,1.0,3,0.2370922600229581,0.18985392302274706,0.13673287779092788,0.035208969811598476,0.2134730915228526
