locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Life and Death / Pastoral Ethics,end-of-life care,bioethical_pastoral,high,ordinary,3,0.37413208186626434,0.42911324699719744,-0.05498116513093312,0.0,2.3333333333333335,1.0
Life and Death / Pastoral Ethics,euthanasia,bioethical_moral,high,academic,3,0.3297241518894831,0.42267407576243077,-0.09294992387294766,0.0,4.666666666666667,1.0
Life and Death / Pastoral Ethics,euthanasia,bioethical_moral,high,bare,1,0.38939085602760315,0.5796177983283997,-0.1902269423007965,0.0,6.0,1.0
Life and Death / Pastoral Ethics,euthanasia,bioethical_moral,high,catholic,3,0.3524332871039708,0.3852117399374644,-0.032778452833493545,0.3333333333333333,2.3333333333333335,2.0
Life and Death / Pastoral Ethics,euthanasia,bioethical_moral,high,ordinary,3,0.29731154441833496,0.3933911244074504,-0.09607957998911541,0.0,3.6666666666666665,1.0
Life and Death / Pastoral Ethics,hope,theological_virtue,high,academic,3,0.37449410259723664,0.3197838375965754,0.05471026500066123,1.0,1.0,3.0
Life and Death / Pastoral Ethics,hope,theological_virtue,high,bare,1,0.3769358694553375,0.38397828340530393,-0.0070424139499664085,1.0,1.0,2.0
Life and Death / Pastoral Ethics,hope,theological_virtue,high,catholic,3,0.45001588265101117,0.24786689380804697,0.20214898884296417,1.0,1.0,5.333333333333333
Life and Death / Pastoral Ethics,hope,theological_virtue,high,ordinary,3,0.33547586997350054,0.3162522514661153,0.01922361850738526,1.0,1.0,3.0
Life and Death / Pastoral Ethics,martyrdom,moral_spiritual,medium,academic,3,0.37081653277079263,0.3752555429935455,-0.004439010222752893,0.6666666666666666,1.3333333333333333,1.6666666666666667
Life and Death / Pastoral Ethics,martyrdom,moral_spiritual,medium,bare,1,0.46056394577026366,0.4793464422225952,-0.018782496452331543,1.0,1.0,2.0
Life and Death / Pastoral Ethics,martyrdom,moral_spiritual,medium,catholic,3,0.36839273373285925,0.3012294332186381,0.06716330051422119,1.0,1.0,4.333333333333333
Life and Death / Pastoral Ethics,martyrdom,moral_spiritual,medium,ordinary,3,0.3387441158294678,0.34623414278030396,-0.007490026950836189,0.6666666666666666,1.3333333333333333,1.6666666666666667
Life and Death / Pastoral Ethics,suffering,pastoral_anthropological,high,academic,3,0.2834572325150172,0.25261658330758413,0.03084064920743307,1.0,1.0,2.3333333333333335
Life and Death / Pastoral Ethics,suffering,pastoral_anthropological,high,bare,1,0.36993818879127505,0.43897159695625304,-0.069033408164978,0.0,2.0,1.0
Life and Death / Pastoral Ethics,suffering,pastoral_anthropological,high,catholic,3,0.3121968269348145,0.1889097770055135,0.12328704992930095,1.0,1.0,6.0
Life and Death / Pastoral Ethics,suffering,pastoral_anthropological,high,ordinary,3,0.2564211875200271,0.29557745754718784,-0.039156270027160635,0.0,2.0,1.0
Life and Death / Pastoral Ethics,suicide,pastoral_moral,high,academic,3,0.23380766411622367,0.3610890914996465,-0.12728142738342285,0.0,3.6666666666666665,1.0
Life and Death / Pastoral Ethics,suicide,pastoral_moral,high,bare,1,0.27411691248416903,0.5055633187294006,-0.2314464062452316,0.0,6.0,1.0
Life and Death / Pastoral Ethics,suicide,pastoral_moral,high,catholic,3,0.2624384830395381,0.2889062315225601,-0.026467748483022042,0.0,3.0,1.0
Life and Death / Pastoral Ethics,suicide,pastoral_moral,high,ordinary,3,0.18182303210099537,0.3259580691655477,-0.1441350370645523,0.0,4.666666666666667,1.0
